description,latitude,longitude,windowStart,windowEnd,unloadingDuration,loadWeight,loadVolume
80002085,-23.254481,-47.302675,07:30:00,23:59:00,13,294.15,21.85
80002086,-23.255503,-47.301933,07:30:00,23:59:00,15,399.12,29.78
80002087,-23.254328,-47.299217,07:30:00,23:59:00,6,104.45,7.25
80002089,-23.251783,-47.297842,07:30:00,23:59:00,7,109.85,8.17
80002092,-23.260417,-47.296583,07:30:00,23:59:00,8,64.65,4.565
80002108,-23.402,-47.353,07:30:00,23:59:00,6,133.4,9.56
80002120,-23.658114,-47.661106,07:30:00,23:59:00,10,410,29
80002129,-23.648,-47.448,07:30:00,23:59:00,12,161.9,11.3
80002136,-23.437806,-47.506675,11:13:00,14:48:00,16,665.6,48.56
80002147,-23.497431,-47.456053,07:30:00,23:59:00,17,233.75,17.66
80002156,-23.5586,-47.5579,07:30:00,23:59:00,12,351.91,25.71
80002172,-23.512675,-47.514725,09:13:00,12:27:00,9,311.47,22.67
80002173,-23.448767,-47.489528,07:30:00,23:59:00,2,29.14,2.29
80002180,-23.451811,-47.4782,11:07:00,15:19:00,11,366,27.12
80002181,-23.262228,-47.298392,07:30:00,23:59:00,9,65.99,4.83
80002185,-23.451167,-47.475733,07:30:00,23:59:00,13,1034.18,74.84
80002202,-23.475228,-47.582789,11:18:00,12:26:00,8,100.59,7.33
80002236,-23.495306,-47.406508,10:40:00,15:21:00,21,564.38,42.12
80002241,-23.711289,-47.407939,07:30:00,23:59:00,2,46.8,3.36
80002245,-23.485703,-47.465806,07:30:00,23:59:00,6,199.69,15.13
80002247,-23.5545,-47.5597,07:30:00,23:59:00,5,51.8,4
80002298,-23.707394,-47.434542,07:30:00,23:59:00,5,51.8,4
80002324,-23.490056,-47.452031,08:19:00,15:49:00,36,90.65,7
80002343,-23.389478,-47.347939,07:30:00,23:59:00,10,97.65,7.13
80002346,-23.81375,-47.71555,09:40:00,14:44:00,13,77.7,6
80002365,-23.521939,-47.478058,07:30:00,23:59:00,8,67.78,4.58
80002407,-23.709942,-47.420831,07:30:00,23:59:00,40,1270.09,92.03
80002420,-23.495564,-47.466225,09:27:00,12:17:00,15,151.08,12.03
80002445,-23.207308,-47.512339,07:30:00,23:59:00,6,94.61,6.78
80002466,-23.558889,-47.259,07:30:00,23:59:00,11,96.09,7.13
80002468,-23.56145,-47.260311,11:38:00,18:47:00,9,201.15,14.93
80002470,-23.513483,-47.255042,07:30:00,23:59:00,20,117,8.4
80002474,-23.513728,-47.251592,07:30:00,23:59:00,6,244.26,17.5
80002476,-23.517578,-47.2503,09:16:00,12:53:00,6,72.7,5.36
80002477,-23.511439,-47.252669,08:23:00,17:24:00,6,117,8.4
80002484,-23.530717,-47.254644,12:45:00,17:17:00,17,460.77,34.93
80002486,-23.531389,-47.255581,07:30:00,23:59:00,10,96.09,7.13
80002487,-23.532617,-47.255433,07:30:00,23:59:00,4,117,8.4
80002492,-23.5259,-47.253039,12:06:00,16:11:00,8,248.99,18.81
80002505,-23.52345,-47.255239,07:30:00,23:59:00,4,117,8.4
80002508,-23.522478,-47.254258,11:36:00,12:04:00,2,23.4,1.68
80002513,-23.521767,-47.252831,07:30:00,23:59:00,9,119.5,8.72
80002517,-23.520581,-47.257589,07:30:00,23:59:00,5,94.1,7.16
80002520,-23.51865,-47.25585,07:30:00,23:59:00,11,213.09,15.53
80002543,-23.263078,-47.298575,08:39:00,09:44:00,14,71.51,4.77
80002556,-23.264186,-47.279872,07:30:00,23:59:00,7,73.5,5
80002566,-23.265606,-47.305531,07:30:00,23:59:00,10,65.39,4.79
80002584,-23.388681,-47.340281,07:30:00,23:59:00,14,82.1,6
80002600,-23.253381,-47.298167,07:30:00,23:59:00,6,96.09,7.13
80002608,-23.264119,-47.279619,07:30:00,23:59:00,11,220.5,15
80002611,-23.264319,-47.279708,07:30:00,23:59:00,8,95.25,6.3
80002625,-23.249294,-47.316667,07:30:00,23:59:00,17,1002.59,77.13
80002645,-23.213658,-47.509044,07:30:00,23:59:00,12,329.2,25.04
80002672,-23.546369,-47.583239,07:30:00,23:59:00,2,96.09,7.13
80002674,-23.461539,-47.480439,11:54:00,13:55:00,7,348.12,25.56
80002718,-23.514528,-47.465767,07:57:00,09:27:00,11,100.76,7.04
80002762,-23.493928,-47.406292,09:22:00,12:11:00,9,54.51,3.71
80002784,-23.511792,-47.456189,07:47:00,09:47:00,19,327.7,24.4
80002793,-23.497867,-47.460308,07:30:00,23:59:00,12,51.84,4.2
80002802,-23.506647,-47.462075,08:15:00,13:18:00,16,258.51,22.37
80002803,-23.511556,-47.435106,07:30:00,23:59:00,10,235.6,16.915
80002822,-23.492139,-47.593439,07:30:00,23:59:00,6,49.2,3.48
80002838,-23.530925,-47.255928,10:59:00,17:58:00,8,178.8,13.68
80002893,-23.493328,-47.473217,09:33:00,15:51:00,13,272.28,18.62
80002897,-23.451458,-47.487619,07:30:00,23:59:00,3,169.31,11.58
80002904,-23.294808,-47.301839,08:19:00,16:25:00,11,160.05,10.88
